agent_name,facebook_url,canonical_university,alias_matched,total_ads,active_ads,est_reach_min,est_reach_max,ad_library_url,as_of_date
Global Consulting and Business Services,https://www.facebook.com/globalconsultsydney,,,1,1,0,0,,2026-04-30
Global Opportunities,https://www.facebook.com/GlobalOpportunitie,,,1,1,0,0,,2026-04-30
Global Reach,https://www.facebook.com/globalreachedu,,,1,1,0,0,,2026-04-30
Global Select Education and Migration Services,https://www.facebook.com/globalselectaustralia,,,1,1,0,0,,2026-04-30
Global Select education and Migration Services,https://www.facebook.com/Globalselectnepal,,,1,1,0,0,,2026-04-30
Globancy,https://www.facebook.com/GlobancyGlobal,,,1,1,0,0,,2026-04-30
Golden Wattle Education Services,https://www.facebook.com/Goldenwattlee,,,1,1,0,0,,2026-04-30
Grace International Indonesia,https://www.facebook.com/graceintlgroup,,,1,1,0,0,,2026-04-30
Grace International Sri Lanka,https://www.facebook.com/graceintloceania,,,1,1,0,0,,2026-04-30
HOPE Education,https://www.facebook.com/HOPE-2000-EDUCATION-101588614187,,,1,1,0,0,,2026-04-30
Hanoi university,https://www.facebook.com/hanutuyensinh,,,1,1,0,0,,2026-04-30
Himalayan World Wide Education Consultancy,https://www.facebook.com/HWWEC.Official,,,1,1,0,0,,2026-04-30
I-LINK,https://www.facebook.com/ilinkjakarta,,,1,1,0,0,,2026-04-30
ICBT,https://facebook.com/ICBTsrilanka,,,1,1,0,0,,2026-04-30
IEAVS,https://www.facebook.com/IEAVS-609891712380517,,,1,1,0,0,,2026-04-30
ISC Education Joint Stock Company,https://www.facebook.com/tuvanduhoc.isc,,,1,1,0,0,,2026-04-30
Idyllic Education Consultants (Kathmandu),https://www.facebook.com/idyllicec,,,1,1,0,0,,2026-04-30
InterestED,https://www.facebook.com/interestedu,,,1,1,0,0,,2026-04-30
International Education Consultancy (IEC),https://www.facebook.com/IEC.SL90,,,1,1,0,0,,2026-04-30
International Education Experts (Pvt),https://www.facebook.com/International-Education-Experts-270060606994122,,,1,1,0,0,,2026-04-30
"International Network Education Consultants Co., Ltd",https://www.facebook.com/tuvanduhocinec,,,1,1,0,0,,2026-04-30
JACK Study Abroad,https://www.facebook.com/jackstudyindonesia,,,1,1,0,0,,2026-04-30
KBA Global Education & Migration - Nepal,https://www.facebook.com/Kbaglobal,,,1,1,0,0,,2026-04-30
KIEC Education,https://www.facebook.com/kiec.officialpage,,,1,1,0,0,,2026-04-30
LeVisa,https://www.facebook.com/levisaaustralia,,,1,1,0,0,,2026-04-30
Leap Geebee Edtech,https://www.facebook.com/geebeeworld,,,1,1,0,0,,2026-04-30
MELLINK HA NOI JSC,https://www.facebook.com/mellinkaustralia,,,1,1,0,0,,2026-04-30
Mates Education,https://www.facebook.com/matesedu,,,1,1,0,0,,2026-04-30
Motif Education Abroad,https://www.facebook.com/motifeducation,,,1,1,0,0,,2026-04-30
Nawaloka Global Edulink (PVT),https://www.facebook.com/Nawalokaglobaledulink,,,1,1,0,0,,2026-04-30
Nobel Education Foundation (P.),https://www.facebook.com/nobelef9,,,1,1,0,0,,2026-04-30
North Easterns Educational Consultancy,https://www.facebook.com/NeasternsAnamnagar,,,1,1,0,0,,2026-04-30
October Education,https://www.facebook.com/octobereduconsultancy,,,1,1,0,0,,2026-04-30
PFEC Global,https://www.facebook.com/PFEC.Srilanka,,,1,1,0,0,,2026-04-30
Professional Education Consultancy,https://www.facebook.com/pe.consultancy,,,1,1,0,0,,2026-04-30
Professional Visa and Education Services,https://www.facebook.com/professionalvisa,,,1,1,0,0,,2026-04-30
Quoc Anh Iec,https://www.facebook.com/quocanh.duhoc,,,1,1,0,0,,2026-04-30
REC Campus,https://www.facebook.com/RECCampusSL,,,1,1,0,0,,2026-04-30
ROYAL INSTITUTE OF COLOMBO (RIC),https://www.facebook.com/RoyalInstituteCMB,,,1,1,0,0,,2026-04-30
Rightway Education and Services -Vietnam,https://www.facebook.com/Rightway.Australia,,,1,1,0,0,,2026-04-30
Rivil International (Pvt),https://www.facebook.com/riviledu,,,1,1,0,0,,2026-04-30
Royal Educational Foundation,https://www.facebook.com/royaleducation.edu.np,,,1,1,0,0,,2026-04-30
S.E.T Services for Education Consultancy and Training Joint Stock Company,https://www.facebook.com/duhocSET,,,1,1,0,0,,2026-04-30
SACE College Vietnam Joint Stock Company,https://www.facebook.com/sacecollegevietnam,,,1,1,0,0,,2026-04-30
SEAMEO Regional Training Center,https://www.facebook.com/TIENGANHSEAMEO,,,1,1,0,0,,2026-04-30
Sig ( Storm International Group) - Nepal,https://www.facebook.com/SIGoverseasindia,,,1,1,0,0,,2026-04-30
Spectrum Overseas Education Consultancy (Private),https://www.facebook.com/SPECTRUMSRILANKA,,,1,1,0,0,,2026-04-30
Students in Aus,https://facebook.com/studentinaus,,,1,1,0,0,,2026-04-30
Study Square Indonesia,https://www.facebook.com/StudySquareEdu,,,1,1,0,0,,2026-04-30
StudyLink,https://www.facebook.com/studylink.international,,,1,1,0,0,,2026-04-30
StudyNet,https://www.facebook.com/StudyNet.au,,,1,1,0,0,,2026-04-30
Studylane International,https://www.facebook.com/studylaneinternational,,,1,1,0,0,,2026-04-30
Studyzone,https://www.facebook.com/studyzone.edu,,,1,1,0,0,,2026-04-30
TNE Global,https://www.facebook.com/TNEGlobalVietnam,,,1,1,0,0,,2026-04-30
The Professional Network (TPNL),https://www.facebook.com/TPNL.Bangladesh,,,1,1,0,0,,2026-04-30
Three Sixty Education Solutions,https://www.facebook.com/360education.global,,,1,1,0,0,,2026-04-30
Tingo Education Australia,https://facebook.com/tingoedu,,,1,1,0,0,,2026-04-30
